,Name,Market Cap,Top 10 Holders %,Avg Active Wallets,Top 50 Holders %,Symbol
0,Chiliz,"$674,081,874",64.13%,,77.84%,CHZ
1,Dogecoin,"$9,503,164,430",48.03%,,62.99%,DOGE
2,Dai,"$9,503,164,430",48.03%,,62.99%,SAI
3,Filecoin,"$1,127,800,406",48.03%,,62.99%,FIL
4,Terra Classic,"$1,127,800,406",48.03%,,62.99%,FIL
5,Neo,"$460,578,606",48.03%,,62.99%,NEO
6,Loopring,"$256,054,698",42.54%,,65.69%,LRC
7,Dash,"$481,044,719",7.04%,,12.14%,DASH
8,Lido DAO,"$1,011,369,657",52.85%,,82.38%,LDO
9,Quant,"$1,317,341,207",30.25%,,35.94%,QNT
10,Monero,"$2,699,905,627",30.25%,,35.94%,XMR
11,Hedera,"$981,816,999",30.25%,,35.94%,HBAR
12,TRON,"$5,089,570,788",30.25%,,35.94%,TRX
13,USDD,"$711,638,966",98.43%,,99.95%,USDD
14,Decred,"$276,670,927",98.43%,,99.95%,DCR
15,GateToken,"$349,415,994",99.8%,,99.92%,GT
16,VeChain,"$1,167,562,787",99.8%,,99.92%,VET
17,Ravencoin,"$231,704,273",99.8%,,99.92%,RVN
18,Huobi Token,"$836,118,369",98.62%,,99.58%,HT
19,Axie Infinity,"$649,299,135",96.26%,,98.55%,AXS
20,Binance USD,"$16,428,319,857",88.36%,,91.95%,BUSD
21,Synthetix,"$379,209,575",70.27%,,85.39%,SNX
22,KuCoin Token,"$654,265,386",98.44%,,99.21%,KCS
23,Neutrino USD,"$317,402,006",92.92%,,99.44%,USDN
24,TrueUSD,"$843,936,718",67.39%,,84.03%,TUSD
25,Stacks,"$293,891,391",67.39%,,84.03%,STX
26,Ethereum,"$148,679,406,528",67.39%,,84.03%,ETH
27,Maker,"$500,780,295",46.93%,,72.71%,MKR
28,EOS,"$949,502,102",46.93%,,72.71%,EOS
29,Polygon,"$6,826,318,490",66.23%,,79.26%,MATIC
30,Tezos,"$683,436,663",66.23%,,79.26%,XTZ
31,Theta Network,"$744,466,389",66.23%,,79.26%,THETA
32,Algorand,"$1,299,448,109",66.23%,,79.26%,ALGO
33,Toncoin,"$2,662,111,346",78.17999999999999%,,87.47%,TON
34,Osmosis,"$352,797,413",No Data,,No Data,OSMO
35,Chainlink,"$2,871,953,819",30.94%,,66.78%,LINK
36,Curve DAO Token,"$281,367,071",77.73%,,91.65%,CRV
37,Internet Computer,"$1,117,601,529",77.73%,,91.65%,ICP
38,Frax Share,"$335,750,415",82%,,92.51%,FXS
39,Fantom,"$593,315,139",51.21%,,65.52%,FTM
40,Wrapped Bitcoin,"$3,054,485,720",53.61%,,75.61%,WBTC
41,Ethereum Classic,"$2,219,341,395",53.61%,,75.61%,ETC
42,Bitcoin,"$321,836,455,562",5.4%,,10.77%,BTC
43,Aave,,58.8%,,78.42%,AAVE
44,Casper,"$307,354,561",58.8%,,78.42%,CSPR
45,Decentraland,"$574,441,688",42.8%,,62.83%,MANA
46,1inch Network,"$574,441,688",42.8%,,62.83%,MANA
47,BNB,"$39,335,714,943",98.38000000000001%,,99.01%,BNB
48,XRP,,98.38000000000001%,,99.01%,XRP
49,Zcash,"$648,458,242",17.16%,,30.07%,ZEC
50,Aptos,"$485,712,968",17.16%,,30.07%,APT
51,Gemini Dollar,"$607,678,486",96.4%,,98.81%,GUSD
52,Polkadot,"$5,208,707,222",96.4%,,98.81%,DOT
53,Nexo,"$378,918,776",92.25%,,94.8%,NEXO
54,Bitcoin Cash,"$1,921,390,045",14.07%,,24.37%,BCH
55,OKB,"$1,787,380,918",19.34%,,19.74%,OKB
56,eCash,"$425,746,331",19.34%,,19.74%,XEC
57,Zilliqa,"$264,221,916",19.34%,,19.74%,ZIL
58,Basic Attention Token,"$257,913,457",36.26%,,63.62%,BAT
59,Mina,"$349,202,520",36.26%,,63.62%,MINA
60,Chain,"$258,238,637",90.11%,,98.98%,XCN
61,Convex Finance,"$231,963,133",90.61%,,95.81%,CVX
62,Trust Wallet Token,"$610,297,102",90.61%,,95.81%,TWT
63,Flow,"$748,420,014",83.86%,,97.13%,FLOW
64,Enjin Coin,"$248,424,895",38.96%,,59.44%,ENJ
65,Litecoin,"$5,428,148,658",14.49%,,28.42%,LTC
66,Klaytn,"$470,469,560",14.49%,,28.42%,KLAY
67,Fei USD,"$424,408,863",87.24%,,98.48%,FEI
68,Cosmos,"$2,824,180,280",83.47999999999999%,,95.61%,ATOM
69,PAX Gold,"$498,055,463",31.22%,,52.83%,PAXG
70,DogeTrend,- -,31.22%,,52.83%,DOGETREND
71,Cardano,"$8,718,814,488",31.22%,,52.83%,ADA
72,ApeCoin,"$12,458",81.45%,,94.07%,APE
73,EthereumPoW,"$12,458",81.45%,,94.07%,APE
74,Balancer,"$247,753,921",73.58%,,86.85%,BAL
75,Uniswap,"$4,079,899,686",52.69%,,74.31%,UNI
76,Tether,"$66,253,284,425",25.41%,,39.61%,USDT
77,Avalanche,"$3,487,732,819",25.41%,,39.61%,AVAX
78,Holo,"$251,954,218",45.92%,,60.4%,HOT
79,THORChain,"$430,557,453",45.92%,,60.4%,RUNE
80,USD Coin,"$44,724,720,739",20.01%,,33.52%,USDC
81,Shiba Inu,"$4,483,895,986",62.71%,,78.75%,SHIB
82,The Graph,"$519,407,364",57.62%,,74.06%,GRT
83,Bitcoin SV,"$810,053,156",13.77%,,23.21%,BSV
84,PancakeSwap,"$514,513,743",13.77%,,23.21%,CAKE
85,BitDAO,"$789,327,927",88.7%,,99.01%,BIT
86,XDC Network,"$789,327,927",88.7%,,99.01%,BIT
87,The Sandbox,"$613,224,648",78.76%,,91.08%,SAND
88,BitTorrent-New,"$595,053,858",99.00999999999999%,,99.42999999999999%,BTT
89,Level Finance,"$103,706",99.00999999999999%,,99.42999999999999%,LVL
90,Pax Dollar,"$103,706",99.00999999999999%,,99.42999999999999%,LVL
91,MultiversX (Elrond),"$103,706",99.00999999999999%,,99.42999999999999%,LVL
92,Cronos,"$1,456,631,044",93.98%,,96.63%,CRO
93,NEAR Protocol,"$1,119,880,138",93.98%,,96.63%,NEAR
94,IOTA,"$503,769,670",93.98%,,96.63%,MIOTA
95,ImmutableX,"$503,769,670",93.98%,,96.63%,MIOTA
96,Kabosu Inu,- -,17.54%,,52.67%,KABOSU INU
97,Celo,"$237,170,581",17.54%,,52.67%,CELO
98,Stellar,"$1,931,965,409",17.54%,,52.67%,XLM
99,Solana,"$4,324,663,675",17.54%,,52.67%,SOL
100,GMX,"$353,193,300",17.54%,,52.67%,GMX
101,NEM,"$263,857,385",17.54%,,52.67%,XEM
102,UNUS SED LEO,"$3,365,340,734",99.86%,,99.89%,LEO
